country,prompt_variant,model,spearman,mean_predict,mean_actual,median_predict,median_actual
AUS,Numeric,meta-llama/Llama-2-7b-chat-hf,0.9721260881660042,0.3579275899369604,0.3578932669157327,0.4349172011176591,0.484
AUS,Numeric,mistralai/Mistral-7B-Instruct-v0.1,0.9727932496827136,0.3579094269967896,0.3578932669157327,0.457438548730125,0.484
AUS,Numeric,lmsys/vicuna-7b-v1.5,0.9747009897578379,0.35793957765548057,0.3578932669157327,0.44345096663274886,0.484
AUS,Human-readable,meta-llama/Llama-2-7b-chat-hf,0.9300733319538054,0.35808580675320995,0.3578932669157327,0.41702952736126814,0.484
AUS,Human-readable,mistralai/Mistral-7B-Instruct-v0.1,0.9302142038744535,0.35806691743310914,0.3578932669157327,0.4278046425277514,0.484
AUS,Human-readable,lmsys/vicuna-7b-v1.5,0.9300861205145375,0.3580546737507727,0.3578932669157327,0.4176743658279814,0.484
JPN,Numeric,meta-llama/Llama-2-7b-chat-hf,0.9474302623369388,-0.0789479918699058,-0.07924313171283211,-0.07661710919553187,-0.0442
JPN,Numeric,mistralai/Mistral-7B-Instruct-v0.1,0.9593443470317925,-0.07897456088533629,-0.07924313171283211,-0.06074029074550282,-0.0442
JPN,Numeric,lmsys/vicuna-7b-v1.5,0.9573090260470376,-0.07913828525719564,-0.07924313171283211,-0.061299835290051966,-0.0442
JPN,Human-readable,meta-llama/Llama-2-7b-chat-hf,0.8910508163956612,-0.07954500511350637,-0.07924313171283211,-0.08546554235320124,-0.0442
JPN,Human-readable,mistralai/Mistral-7B-Instruct-v0.1,0.8907635911572208,-0.07960614276343658,-0.07924313171283211,-0.0696561525466955,-0.0442
JPN,Human-readable,lmsys/vicuna-7b-v1.5,0.8905986177340225,-0.07960872867052034,-0.07924313171283211,-0.0722468887224488,-0.0442
BRA,Numeric,meta-llama/Llama-2-7b-chat-hf,0.982523086356391,-1.0793115676032266,-1.078716100872939,-1.115809620273711,-1.0645
BRA,Numeric,mistralai/Mistral-7B-Instruct-v0.1,0.9836367773755281,-1.07896637369446,-1.078716100872939,-1.1049143505270276,-1.0645
BRA,Numeric,lmsys/vicuna-7b-v1.5,0.9857337155743193,-1.0789347076266367,-1.078716100872939,-1.08588930800147,-1.0645
BRA,Human-readable,meta-llama/Llama-2-7b-chat-hf,0.9563080020893059,-1.0785504298822277,-1.078716100872939,-1.12370189024933,-1.0645
BRA,Human-readable,mistralai/Mistral-7B-Instruct-v0.1,0.9566754561362897,-1.0785644952044393,-1.078716100872939,-1.127372802631688,-1.0645
BRA,Human-readable,lmsys/vicuna-7b-v1.5,0.9563132955315783,-1.078596359756121,-1.078716100872939,-1.1133710604825535,-1.0645
